Date,Name,Year,Letterboxd URI,Rating
2021-01-22,Ralph Breaks the Internet,2018,https://boxd.it/azpi,3.5
2021-01-22,Fantastic Beasts: The Crimes of Grindelwald,2018,https://boxd.it/fBni,2.5
2021-01-22,Bohemian Rhapsody,2018,https://boxd.it/fbGe,4.5
2021-01-22,First Man,2018,https://boxd.it/eYHO,4
2021-01-22,Smallfoot,2018,https://boxd.it/fBpq,3.5
2021-01-22,Johnny English Strikes Again,2018,https://boxd.it/fB1u,3
2021-01-22,The Meg,2018,https://boxd.it/eO6k,3
2021-01-22,Christopher Robin,2018,https://boxd.it/fB6W,4
2021-01-22,Ant-Man and the Wasp,2018,https://boxd.it/cP20,3.5
2021-01-22,Solo: A Star Wars Story,2018,https://boxd.it/bj4c,3.5
2021-01-22,Isle of Dogs,2018,https://boxd.it/9k8A,4
2021-01-22,Annihilation,2018,https://boxd.it/dHDK,4
2021-01-22,Coco,2017,https://boxd.it/bY2k,5
2021-01-22,Paddington 2,2017,https://boxd.it/bCF8,4.5
2021-01-22,The Disaster Artist,2017,https://boxd.it/dYOC,4
2021-01-22,Three Billboards Outside Ebbing Missouri,2017,https://boxd.it/efVE,4.5
2021-01-22,Lady Bird,2017,https://boxd.it/dGNE,4.5
2021-01-22,The Killing of a Sacred Deer,2017,https://boxd.it/dZr2,4
2021-01-22,Baby Driver,2017,https://boxd.it/c9Z2,4
2021-01-22,Okja,2017,https://boxd.it/d8uM,4
2021-01-22,The Big Sick,2017,https://boxd.it/dJUw,4
2021-01-22,The Florida Project,2017,https://boxd.it/dMG0,4
2021-01-22,War Machine,2017,https://boxd.it/dQOO,2.5
2021-01-22,Alien: Covenant,2017,https://boxd.it/9qS0,3
2021-01-22,Gifted,2017,https://boxd.it/dL4I,4
2021-01-22,Ghost in the Shell,2017,https://boxd.it/b6fS,3
2021-01-22,Power Rangers,2017,https://boxd.it/b6H6,3
2021-01-22,The Lego Batman Movie,2017,https://boxd.it/8WmI,4
2021-01-22,Hidden Figures,2016,https://boxd.it/c89K,4.5
2021-01-22,La La Land,2016,https://boxd.it/a5fa,5
2021-01-22,Manchester by the Sea,2016,https://boxd.it/b2L0,4.5
2021-01-22,Arrival,2016,https://boxd.it/aNGk,5
2021-01-22,Hacksaw Ridge,2016,https://boxd.it/aNGs,4.5
2021-01-22,Fantastic Beasts and Where to Find Them,2016,https://boxd.it/9S9c,3.5
2021-01-22,Sing,2016,https://boxd.it/9kEO,3.5
2021-01-22,The Accountant,2016,https://boxd.it/aqhA,3.5
